;Zone;Population 2018;Différence population (%);Disponibilité en protéines par habitant (g/personne);Disponibilité en calories par habitant (kcal/personne);Proportion protéine animale (%);Proportion protéine volailles / prot animale(%);PIB par habitant;Cluster
142;Thaïlande;69428453.0;0.31591330766548326;23097.2;1022365.0;42.778128950695326;16.6605097894348;18086.5;1
143;Togo;7889093.000000001;2.476062139068088;21326.949999999997;890965.0;14.992298476809857;27.96803652968037;1552.5;4
144;Trinité-et-Tobago;1389842.9999999998;0.4179012599896304;31240.35;1089160.0;51.79343381236124;43.469433792014435;26272.9;1
145;Oman;4829473.0;3.5050905200423172;31116.249999999993;1072370.0;49.33724340175953;16.833095577746075;28593.8;0
146;Tunisie;11565201.0;1.1523912788125135;36379.549999999996;1259980.0;28.70472559446171;22.369800768961905;10763.8;1
147;Turquie;82340088.0;1.5084955024535793;40401.85;1353420.0;35.685247086457686;17.822784810126578;28298.9;1
148;Émirats arabes unis;9630959.0;1.5152621905528887;40193.799999999996;1208880.0;45.81365782782419;28.800792864222004;66968.3;1
149;Ouganda;42729035.99999999;3.7954274957156926;17122.15;723065.0;26.071200170539328;4.415372035977105;2122.1;3
150;Royaume-Uni de Grande-Bretagne et d'Irlande du Nord;67141684.00000001;0.6207684119736142;37894.30000000001;1220195.0;55.82739356578696;22.56728778467908;46309.8;2
151;Ukraine;44246155.99999999;-0.5429656986832186;31543.3;1132230.0;44.27215922240223;21.510716152639827;12338.0;1
152;États-Unis d'Amérique;327096265.0;0.618764479993033;41456.7;1378605.0;64.68568409931325;27.562270314414043;61544.4;2
153;Burkina Faso;19751466.0;2.908483270719254;29240.14999999999;999735.0;14.242915990513044;7.099035933391762;2131.5;3
154;Uruguay;3449285.0;0.3679173937574578;31521.399999999998;1167270.0;53.53172765169063;6.813757300454249;21590.8;1
155;Ouzbékistan;32476244.0;1.6159651887520485;34039.90000000001;1099015.0;38.333690757023405;1.93006993006993;6755.5;0
156;Viet Nam;95545962.0;0.999267996557485;35978.049999999996;1103395.0;40.23536572993811;13.262733232476046;7586.4;1
157;Éthiopie;109224414.0;2.6545977608029165;24210.45000000001;853005.0;9.889944218302423;3.50609756097561;2103.5;3
158;Samoa;196129.00000000003;0.39774356034236413;32057.950000000004;1105220.0;59.27359672093815;41.24087591240877;6329.4;1
159;Zambie;17351708.0;2.955505230663198;22082.500000000004;730000.0;22.628099173553707;8.181154127100076;3521.5;3
160;Belgique;11482178.0;0.5466845678205884;36379.55;1373860.0;58.76392093909906;6.931876387228956;51246.0;2
161;Luxembourg;604245.0;2.083931678802527;39529.5;1266550.0;62.28993536472757;11.14734657574859;114110.0;2
162;Serbie;8802754.0;-0.3043616333553327;30765.85;1030760.0;49.88729386641357;9.560047562425684;17355.1;1
163;Monténégro;627809.0;0.03919925170859036;41723.149999999994;1277135.0;61.45569066573354;8.697508896797155;20628.6;2
164;Soudan;41801532.99999999;2.4211069713211844;26623.1;940240.0;27.61173567315602;2.6812313803376364;4160.6;0
